Motor PWM,RPM
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,15
200,15
205,30
210,15
215,30
220,30
225,45
230,45
235,45
240,60
245,60
250,75
255,90
260,75
265,75
270,105
275,120
280,120
285,120
290,120
295,135
300,135
305,150
310,150
315,150
320,165
325,165
330,180
335,195
340,195
345,195
350,210
355,210
360,210
365,225
370,225
375,240
380,255
385,240
390,255
395,270
400,255
405,285
410,285
415,285
420,300
425,300
430,300
435,315
440,330
450,330
450,345
450,345
450,345
450,330
450,345
450,330
450,345
450,345
450,360
450,330
450,345
450,330
450,330
450,345
450,345
450,330
450,330
450,330
450,345
450,345
450,330
450,360
450,330
450,345
450,330
450,345
450,345
450,330
450,345
450,330
450,360
450,345
450,330
450,330
450,345
450,345
450,330
450,345
450,330
440,330
435,315
430,330
425,315
420,315
415,300
410,300
405,285
400,270
395,285
390,270
385,270
380,255
375,240
370,255
365,225
360,225
355,240
350,225
345,210
340,210
335,195
330,180
325,195
320,165
315,180
310,180
305,165
300,165
295,135
290,135
285,135
280,120
275,120
270,120
265,105
260,90
255,90
250,90
245,90
240,75
235,75
230,75
225,60
220,60
215,60
210,45
205,45
200,45
195,30
190,15
185,15
180,15
175,15
170,15
165,0
160,0
155,0
150,0
145,0
140,0
135,0
130,0
125,0
120,0
115,0
110,15
105,0
100,0
95,0
90,0
85,0
80,0
75,0
70,0
65,0
60,0
55,0
50,0
45,0
40,0
35,0
30,0
25,0
20,0
15,0
10,0
5,0
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,60
140,60
145,90
150,90
155,120
160,135
165,165
170,165
175,210
180,210
185,240
190,180
195,0
200,0
205,30
210,15
215,30
220,45
225,30
230,45
235,60
240,45
245,75
250,75
255,75
260,90
265,90
270,90
275,105
280,105
285,135
290,120
295,150
300,135
305,165
310,135
315,165
320,165
325,165
330,180
335,180
340,180
345,210
350,210
355,210
360,225
365,210
370,240
375,225
380,240
385,255
390,270
395,255
400,270
405,270
410,285
415,285
420,300
425,300
430,315
435,315
440,315
445,330
450,345
455,330
460,345
465,345
470,375
475,375
480,360
485,375
490,390
495,390
500,405
505,405
510,405
515,420
520,435
525,420
530,435
535,450
540,465
545,450
550,450
555,480
560,480
565,480
570,480
575,510
580,495
585,510
590,510
595,525
600,525
600,540
600,525
600,540
600,540
600,525
600,540
600,525
600,540
600,525
600,540
600,540
600,540
600,525
600,540
600,540
600,525
600,540
600,525
600,525
600,540
600,540
600,540
600,525
600,525
600,540
600,540
600,525
600,540
600,540
600,540
600,540
600,540
600,540
600,525
600,525
600,540
